Date,Open,High,Low,Close,Volume,RSI,SmoothedMA
2023-08-03,191.570007,192.369995,190.690002,191.169998,190,54.965839751878306,165.0768872551023
2023-08-04,185.520004,187.380005,181.919998,181.990005,181,41.77361571737248,164.23117327551046
2023-08-07,182.130005,183.130005,177.350006,178.850006,178,27.475073962972928,163.2223981428574
2023-08-08,179.690002,180.270004,177.580002,179.800003,179,20.80487422416425,162.35739825510228
2023-08-09,180.869995,180.929993,177.009995,178.190002,177,25.139854615355233,161.4554595357145
2023-08-10,179.479996,180.750000,177.600006,177.970001,177,24.75209495180718,160.61403096428597
2023-08-11,177.320007,178.619995,176.550003,177.789993,177,22.259746017124243,159.83102019387778
2023-08-14,177.970001,179.690002,177.309998,179.460007,179,19.499030404549572,159.24362270408187
2023-08-15,178.880005,179.479996,177.050003,177.449997,177,21.877357773316902,158.58489790816353
2023-08-16,177.130005,178.539993,176.500000,176.570007,176,21.295970756189476,157.95030649489817
2023-08-17,177.139999,177.509995,173.479996,174.000000,173,12.587432474280106,157.21709210204105
2023-08-18,172.300003,175.100006,171.960007,174.490005,174,9.461932835799004,156.63025562755124
2023-08-21,175.070007,176.130005,173.740005,175.839996,175,11.375321195720716,156.2518878571431
2023-08-22,177.059998,177.679993,176.250000,177.229996,176,17.38115169045072,156.07367317346961
2023-08-23,178.520004,181.550003,178.330002,181.119995,180,22.815925699890315,156.25163191836756
2023-08-24,180.669998,181.100006,176.009995,176.380005,176,47.86238560331775,156.14229547449003
2023-08-25,177.380005,179.149994,175.820007,178.610001,178,44.37357736416829,156.22086690816352
2023-08-28,180.089996,180.589996,178.550003,180.190002,179,47.43865392751412,156.41352007142882
2023-08-29,179.699997,184.899994,179.500000,184.119995,183,54.31034259809867,156.88489722959207
2023-08-30,184.940002,187.850006,184.740005,187.649994,187,61.426965971465506,157.57816210714307
2023-08-31,187.839996,189.119995,187.479996,187.869995,187,66.29213917583266,158.2377536224492
2023-09-01,189.490005,189.919998,188.279999,189.460007,189,64.59561481156084,158.95948884183693
2023-09-05,188.279999,189.979996,187.610001,189.699997,189,71.15184355158499,159.6473457959186
2023-09-06,188.399994,188.850006,181.470001,182.910004,182,73.6576532800884,159.78770325000022
2023-09-07,175.179993,178.210007,173.539993,177.559998,177,63.934958337464806,159.51357049489818
2023-09-08,178.350006,180.240005,177.789993,178.179993,177,54.16779176937176,159.26555984183696
2023-09-11,180.070007,180.300003,177.339996,179.360001,179,53.24099531924882,159.08300900510227
2023-09-12,179.490005,180.130005,174.820007,176.300003,176,52.9674087613806,158.6639276734696
2023-09-13,176.509995,177.300003,173.979996,174.210007,173,43.12607747488292,158.10030577551044
2023-09-14,174.000000,176.100006,173.580002,175.740005,175,46.65226966452437,157.68122448979616
2023-09-15,176.479996,176.500000,173.820007,175.009995,174,45.47461856657789,157.21326493877572
2023-09-18,176.479996,179.380005,176.169998,177.970001,177,41.607246973663244,156.97510176530636
2023-09-19,177.520004,179.630005,177.130005,179.070007,178,39.712292520993316,156.82683698469413
2023-09-20,179.259995,179.699997,175.399994,175.490005,175,34.37731051824841,156.4486230204084
2023-09-21,174.550003,176.300003,173.860001,173.929993,173,29.915668451869948,156.02102038775533
2023-09-22,174.669998,177.080002,174.050003,174.789993,174,24.780766625029827,155.7259687857145
2023-09-25,174.199997,176.970001,174.149994,176.080002,175,26.2655368364819,155.59790769387777
2023-09-26,174.820007,175.199997,171.660004,171.960007,171,36.81978025048669,155.24505101530636
2023-09-27,172.619995,173.039993,169.050003,170.429993,170,38.654815521939085,154.83877495408186
2023-09-28,169.339996,172.029999,167.619995,170.690002,170,34.857398112563615,154.48744854081656
2023-09-29,172.020004,173.070007,170.339996,171.210007,170,32.42809146554396,154.2114795816329
2023-10-02,171.220001,174.300003,170.929993,173.750000,173,38.49981531908947,154.1585202959186
2023-10-03,172.259995,173.630005,170.820007,172.399994,172,48.981386629680664,154.02214222959205
2023-10-04,171.089996,174.210007,170.970001,173.660004,173,42.54464060308392,153.98499963775535
2023-10-05,173.789993,175.449997,172.679993,174.910004,174,47.05628640334977,154.04775501020433
2023-10-06,173.800003,177.990005,173.179993,177.490005,177,42.78984871909652,154.29530632653086
2023-10-09,176.809998,179.050003,175.800003,178.990005,178,46.51982796870632,154.65244945918394
2023-10-10,178.100006,179.720001,177.949997,178.389999,178,58.486883690993224,154.9671431938778
2023-10-11,178.199997,179.850006,177.600006,179.800003,179,61.34281564317641,155.36775561224516
2023-10-12,180.070007,182.339996,179.039993,180.710007,180,62.39484688114603,155.80341928571457
2023-10-13,181.419998,181.929993,178.139999,178.850006,178,61.67421590074893,156.076021591837
